šifra,amusement,anger,anxiety,confusion,contempt,disgust,embarrassment,fear,guilt,happiness,interest,joy,love,pride,sadness,shame,surprise,unhappiness,Valenca,,,,
21,5,0,2,0,0,2,0,0,0,5,0,6,0,0,3,0,0,3,5,,,,
22,4,0,0,0,0,0,0,0,0,6,3,7,0,0,0,0,0,0,6,,,,
23,1,5,0,4,0,2,0,1,0,0,0,0,0,0,5,0,5,8,3,,,,
24,4,0,1,0,0,0,0,3,0,6,5,7,2,0,5,0,0,0,6,,,,
25,2,0,0,0,0,0,0,0,0,4,4,6,0,0,0,0,0,0,7,,,,
21,0,0,6,0,0,0,0,3,0,0,5,0,0,0,0,0,0,3,0,,,,
22,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,,,,
23,2,0,7,3,0,4,0,7,5,0,8,0,0,0,3,0,5,6,5,,,,
24,1,0,5,2,0,0,0,2,0,0,6,0,0,0,0,0,0,0,1,,,,
25,0,0,4,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,1,,,,
21,7,1,0,0,3,4,2,0,0,1,3,1,0,0,0,2,0,0,3,,,,
22,5,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,4,,,,
23,5,4,1,0,5,7,5,0,6,2,1,2,0,3,0,6,5,6,5,,,,
24,3,3,0,0,5,0,1,0,0,6,5,5,0,5,0,0,3,0,6,,,,
25,4,0,0,0,2,0,1,0,0,0,4,0,0,0,0,0,0,0,3,,,,
